c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.C,Iteration,1,0.417617,0.003319
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.C,Iteration,2,0.421148,0.003260
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.C,Iteration,3,0.424656,0.003246
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.C,Iteration,4,0.428240,0.003324
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.C,Iteration,5,0.433225,0.002609
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.D,Iteration,1,0.452701,0.006158
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.D,Iteration,2,0.456228,0.003345
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.D,Iteration,3,0.459781,0.003317
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.D,Iteration,4,0.463332,0.003320
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.D,Iteration,5,0.466889,0.003325
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.E,Iteration,1,0.408348,0.006720
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.E,Iteration,2,0.412324,0.003799
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.E,Iteration,3,0.416336,0.003727
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.E,Iteration,4,0.420398,0.003629
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,EP.E,Iteration,5,0.423932,0.003366
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.C,Iteration,1,5.545161,0.348315
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.D,Iteration,1,13.518010,2.697595
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.D,Iteration,2,16.291413,2.772538
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.E,Iteration,1,93.736216,28.584280
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.E,Iteration,2,121.652239,27.915879
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,FT.E,Iteration,3,149.663773,28.010302
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,MG.C,Iteration,1,0.593321,0.028969
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,MG.C,Iteration,2,0.622244,0.028344
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,MG.C,Iteration,3,0.652242,0.029397
c5.12xlarge,16x,c5.12xlarge-spot-node-1033,MG.C,Iteration,4,0.681354,0.028557
